id,children,depth,followers,has_steps,hierarchy,prerequisites,progress_id,root_id,root_title,title,topological_index,is_deprecated,theory,root_subgroup_title,parent_id,verification_step,url
914,[],6,"[1206, 1694, 1585, 1677]",True,"[1162, 1164, 331, 1202, 481, 1206]","[395, 534, 523, 677, 789]",2-914,1162,Computer science,Sorting a list,769,False,10059,Programming languages,1206,8089,https://hyperskill.org/topics/914
1930,[],6,"[1997, 1935, 1934, 1933, 1931, 1811]",True,"[1162, 1164, 620, 1306, 1239, 1811]",[640],2-1930,1162,Computer science,Introduction to string,771,False,17747,Programming languages,1811,,https://hyperskill.org/topics/1930
1997,[],6,[1811],True,"[1162, 1164, 620, 1306, 1239, 1811]",[1930],2-1997,1162,Computer science,String Compare,784,False,18295,Programming languages,1811,,https://hyperskill.org/topics/1997
1935,[],6,[1811],True,"[1162, 1164, 620, 1306, 1239, 1811]",[1930],2-1935,1162,Computer science,String transforming,785,False,17779,Programming languages,1811,,https://hyperskill.org/topics/1935
1934,[],6,[1811],True,"[1162, 1164, 620, 1306, 1239, 1811]",[1930],2-1934,1162,Computer science,String searching,786,False,17771,Programming languages,1811,,https://hyperskill.org/topics/1934
1933,[],6,[1932],True,"[1162, 1164, 620, 1306, 1239, 1932]",[1930],2-1933,1162,Computer science,Introduction to regexp,787,False,17763,Programming languages,1932,,https://hyperskill.org/topics/1933
1931,[],6,[1811],True,"[1162, 1164, 620, 1306, 1239, 1811]",[1930],2-1931,1162,Computer science,Basic string methods,789,False,17755,Programming languages,1811,,https://hyperskill.org/topics/1931
1722,[],6,[1663],True,"[1162, 1163, 520, 1656, 1658, 1663]","[892, 1160, 860, 766, 1783]",2-1722,1162,Computer science,Views,815,False,16174,Fundamentals,1663,,https://hyperskill.org/topics/1722
858,[],6,"[881, 859, 882, 1660, 1678]",True,"[1162, 1163, 520, 1656, 1658, 1660]","[768, 1783]",2-858,1162,Computer science,Alter table,816,False,9579,Fundamentals,1660,9585,https://hyperskill.org/topics/858
881,[],6,"[1660, 1362]",True,"[1162, 1163, 520, 1656, 1658, 1660]",[858],2-881,1162,Computer science,PRIMARY KEY constraint,817,False,9781,Fundamentals,1660,9785,https://hyperskill.org/topics/881
