id,title,use_ide,environment,description,is_beta,is_template_based,results,stages_count,n_first_prerequisites,n_last_prerequisites,language,is_deprecated,progress_id,readiness,lesson_stepik_id,preview_step,ide_files,stages_ids,url,tracks
170,Web Calendar,True,,"Afraid to miss something interesting? Don't worry, you won't! Create an app that will save all your events to the database. You will access the events with the help of REST endpoints.",False,False,You will create a simple REST service with the Flask framework. You will work with a database using the Flask-SQLAlchemy extension and create resources using the Flask-RESTful extension. Learn to use date objects in Python.,4,74,123,python,False,29-170,4,502824,,https://stepik.org/media/attachments/lesson/502824/additional_files.json,"[881, 882, 883, 884]",https://hyperskill.org/projects/170,"{'29': {'level': 'nightmare', 'kind': 'graduate'}}"
134,Text Generator,True,,"<p>Machine learning is getting crazy smart these days. You&#39;ve probably read texts or scripts written by machine learning algorithms, some of them even mimicking styles of certain people! If you ever wondered how it works and what are the secrets behind machine learning, this project is for you! You will have a chance to understand and implement a simple text generator using Markov chains.</p>",False,False,"<p>You will create a program that can predict the next word in a pseudo-sentence based on the previous words in the sequence and the data that is used to create a statistical model. You will get a deeper understanding of natural language processing and preprocessing with the NLTK library, string operations, and the application of statistics in your code.</p>",6,63,79,python,False,29-134,4,422484,,https://stepik.org/media/attachments/lesson/422484/additional_files.json,"[714, 715, 716, 717, 718, 719]",https://hyperskill.org/projects/134,"{'10': {'level': 'nightmare', 'kind': 'graduate'}, '2': {'level': 'hard', 'kind': 'auto'}}"
164,Weather App,True,,There are many reasons why it is important to know the weather. It helps people make important decisions about the day. The weather may influence many different things from clothes to wear during a cold day to whether it is safe to fly an airplane.,False,False,Work with the Flask library to implement a web application that will allow you to keep an eye on the weather. You will use Flask-SQLAlchemy to connect a database to your web application and work with a weather service API to get the current weather from all over the world.,5,73,117,python,False,29-164,4,494358,,https://stepik.org/media/attachments/lesson/494358/additional_files.json,"[851, 852, 853, 854, 855]",https://hyperskill.org/projects/164,"{'29': {'level': 'nightmare', 'kind': 'graduate'}}"
158,Tip Calculator,True,android,"Tipping is a way to show your satisfaction and your gratitude for the service you get. However, it's a pain in the neck to calculate the amount of tip, so let's create a handy tool that will make it easier!",False,False,"You will get to know the basics of Android development such as application layout, widgets, and events. The final application will calculate the tip amount based on the bill and the tip percentage.",3,58,107,kotlin,False,29-158,4,486297,,https://stepik.org/media/attachments/lesson/486297/additional_files.json,"[823, 824, 825]",https://hyperskill.org/projects/158,"{'16': {'level': 'hard', 'kind': 'graduate'}}"
173,Arithmetic Exam Application,True,,"Many people are fond of interactive learning. In this project, you will learn how to write an application that can facilitate solving arithmetic operations in a quick manner. The application will generate a mathematical expression for a user to solve. Implement various levels of difficulty and let the application save the results and show the progress of learning.",False,False,"Learn how to handle input and output, employ the random number generator, and write the output to a file.",4,21,48,python,False,29-173,4,512120,,https://stepik.org/media/attachments/lesson/512120/additional_files.json,"[893, 894, 895, 896]",https://hyperskill.org/projects/173,"{'2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}, '11': {'level': 'medium', 'kind': 'auto'}}"
166,Key Terms Extraction,True,,"<p>Extracting keywords can help you get to the text meaning. Also, It can help you with splitting texts into different categories. In this project, you will learn how to extract relevant words from a collection of news stories. There are many different ways to do it, but we will focus on frequencies, part-of-speech search, and TF-IDF methods. Note that each method can yield the results with varying degrees of accuracy for different texts. In reality, it is always good to try various methods and choose the best.</p>",False,False,"<p>By completing this project, you will get to know and implement crucial text preprocessing stages, use an essential NLP library, NLTK, and program maths formulas! Along the way, you will create a useful tool and learn how to handle reading and writing files with confidence.</p>",4,66,86,python,False,29-166,4,496562,,https://stepik.org/media/attachments/lesson/496562/additional_files.json,"[860, 861, 862, 863]",https://hyperskill.org/projects/166,"{'10': {'level': 'nightmare', 'kind': 'graduate'}, '2': {'level': 'nightmare', 'kind': 'auto'}}"
193,Case Converter,True,,"We work with texts quite often, and it's very sad when it turns out that the text should have been written in a different case. Instead of editing it, you can create a simple application that does the job for us.",False,False,"While implementing this project, you will work with basic HTML elements. Create event handlers for click events and work with strings in JavaScript. Find out how to generate files for downloading.",3,28,47,javascript,False,29-193,4,555152,,https://stepik.org/media/attachments/lesson/555152/additional_files.json,"[962, 963, 964]",https://hyperskill.org/projects/193,"{'5': {'level': 'easy', 'kind': 'graduate'}}"
147,Tetris,True,,Tetris is one of the best-selling video game franchises of all time. You know the rules. Move and rotate blocks of various shapes to fill the empty space on the screen. Fill horizontal rows with the blocks to continue the gameplay. The game is over when there is no free space on the screen.,False,False,"Use Object Oriented Programming to break down a complex problem into steps for easier implementation. Get familiar with algorithmic thinking, game design, and matrix manipulation. Learn how to limit your game board, store the blocks on the board, and make horizontal rows disappear. At the end of the project, you will have your own Tetris game!",4,51,71,python,False,29-147,4,464418,,https://stepik.org/media/attachments/lesson/464418/additional_files.json,"[791, 792, 793, 794]",https://hyperskill.org/projects/147,{}
128,Easy Rider Bus Company,True,,"You've just been hired by a bus company that started actively using the Internet for business. Before you came, their database had been updated a few times by various employees with various levels of skill. Your task is to find all the mistakes they made in the database. Good news: you have documentation, but bad news: it's incomplete. This promises to be quite an investigation!",False,False,"In addition to writing your own programs to test data consistency and correctness, you will practice reading documentation, working with data in JSON format, and creating lists and dictionaries. You will also learn how to work with set methods and regular expression library.",6,43,93,python,False,29-128,4,412967,,https://stepik.org/media/attachments/lesson/412967/additional_files.json,"[680, 681, 682, 683, 684, 685]",https://hyperskill.org/projects/128,"{'2': {'level': 'nightmare', 'kind': 'graduate'}, '10': {'level': 'nightmare', 'kind': 'auto'}}"
152,Data Analysis for Hospitals,True,,"You know the story. Data is everywhere: texts, images, news, spreadsheets. Data determines our habits and future. The amount of data is growing by the second. Data analysis is good for any line of business. How to stay afloat in this great water of data? In this project, you will conduct a comprehensive study with pandas. Upload datasets, deal with data omissions and incorrect data filling, find the main statistical characteristics, and visualize your data. Let's do it!",False,False,Conduct a comprehensive data study using pandas library: from loading and correcting errors in the CSV files to simple data visualization.,5,52,75,python,False,29-152,4,467509,,https://stepik.org/media/attachments/lesson/467509/additional_files.json,"[801, 802, 803, 804, 805]",https://hyperskill.org/projects/152,"{'28': {'level': 'nightmare', 'kind': 'graduate'}}"
